"CODES FILE"
"Table ID","Code","Description"
"FORT","9990","FAULT"
"FORT","9991","REPEAT"
"FORT","9992","COQUINA"
"FORT","9999","T.D."
"GAST","GCP","GAS CAP"
"GAST","NAS","NON-ASSOCIATED"
"GAST","SOL","SOLUTION"
"GRPT","GCAP","GAS CAP"
"GRPT","NONA","NON-ASSOCIATED GAS"
"GRPT","SOLN","SOLUTION GAS"
"LAHT","DEV","DEVELOPMENT"
"LAHT","DPT","DEEPER POOL TEST"
"LAHT","EO","WAS REMOVED"
"LAHT","N/A","NOT AVAILABLE"
"LAHT","NA","WAS REMOVED"
"LAHT","NFW","NEW FIELD WILDCAT"
"LAHT","NPW","NEW POOL WILDCAT"
"LAHT","NULL","WAS REMOVED"
"LAHT","OUT","OUTPOST"
"LAHT","SPT","SHALLOWER POOL TEST"
"LAHT","SVC","SERVICE WELL"
"LITY","PI","PIPELINE INJECTION"
"LITY","PP","PIPELINE PRODUCTION"
"LITY","TI","TRUCK INJECTION"
"LITY","TP","TRUCK PRODUCTION"
"LOGT","ARI","AZIMUTHAL RESISTIVITY IMAGER"
"LOGT","ARRY","ARRAY SONIC"
"LOGT","BHCS","BOREHOLE COMPENSATED SONIC"
"LOGT","BHTV","ACOUSTIC BOREHOLE TELEVIEWER"
"LOGT","CAL","CALIPER"
"LOGT","CB-N","CEMENT BOND-NEUTRON"
"LOGT","CB-S","CEMENT BOND - SONIC"
"LOGT","CBCL","CEMENT BOND-CASING COLLAR LOC"
"LOGT","CBIL","CIRCUMFERENCIAL BOREHOLE IMAG."
"LOGT","CBL","CEMENT BOND LOG"
"LOGT","CBSN","CEMENT BOND-SONIC-NEUTRON"
"LOGT","CCAL","CASING CALIPER"
"LOGT","CCL","CASING COLLAR LOCATOR"
"LOGT","CD","CEMENT DENSITY"
"LOGT","CEM","CEMENT LOG"
"LOGT","CNL","COMPENSATED NEUTRON"
"LOGT","COMP","COMPUTED LOG"
"LOGT","CORR","CORRELATION LOG"
"LOGT","CRSL","RESERVOIR SATURATION LOG CASED"
"LOGT","CSG","CASING INSPECTION LOG"
"LOGT","DENS","DENSITY"
"LOGT","DIL","DUAL INDUCTION LOG"
"LOGT","DIP","DIPMETER"
"LOGT","DIR","DIRECTIONAL SURVEY"
"LOGT","DLL","DUAL LATEROLOG"
"LOGT","DPE","DENSITY/PHOTOELECTRIC"
"LOGT","DPTH","DEPTH LOG"
"LOGT","DSI","DIPOLE SHEAR SONIC IMAGER"
"LOGT","ECS","ELEMENTAL CAPTURE SPECTROSCOPY"
"LOGT","ELOG","ELECTRICAL LOG"
"LOGT","EPT","ELECTROMAGNETIC PROPAGATION TM"
"LOGT","FLOW","FLOWMETER"
"LOGT","FLUI","FLUID DENSITY LOG"
"LOGT","FLUT","FLUID TRAVEL TIME LOG"
"LOGT","FMI","FORMATION MICROIMAGER"
"LOGT","FMS","FORMATION MICROSCANNER"
"LOGT","FRAC","FRACTURE LOG"
"LOGT","GEOP","GEOPHYSICAL OR CHECKSHOT"
"LOGT","GMI","GAS MIRGRATION IMAGER"
"LOGT","GR","GAMMA RAY"
"LOGT","GRAD","GRADIOMANOMETER"
"LOGT","GRN","GAMMA RAY NEUTRON"
"LOGT","GRSP","SPECTRAL GAMMA RAY"
"LOGT","HC","HYDROCARBON DETECTOR LOG"
"LOGT","HIST","WELL HISTORY"
"LOGT","IND","INDUCTION LOG"
"LOGT","INJ","INJECTION LOG"
"LOGT","LAT","LATERAL LOG"
"LOGT","LIL","LOG-INJECT-LOG"
"LOGT","LL","LATEROLOG"
"LOGT","MFDT","MODULAR FORM. DYNAMICS TESTER"
"LOGT","MICR","MICROLOG"
"LOGT","MLL","MICROLATEROLOG"
"LOGT","MLLM","MICROLATEROLOG-MICROLOG"
"LOGT","MRIL","MAGNETIC RESONANCE IMAGING LOG"
"LOGT","MSFL","MICROSPHERICALLY FOCUSED LOG"
"LOGT","MUD","MUD LOG"
"LOGT","MWDG","MEASUREMENT DRILLING/GAMMA/ROP"
"LOGT","N","NEUTRON"
"LOGT","N-D","NEUTRON-DENSITY"
"LOGT","N-S","NEUTRON-SONIC"
"LOGT","NDPE","NEUTRON-DENSITY/PHOTOELECTRIC"
"LOGT","NLL","NEUTRON LIFETIME LOG"
"LOGT","NMR","NUCLEAR MAGNETIC RESONANCE"
"LOGT","NOIS","NOISE LOG"
"LOGT","NOIT","NOISE-TEMPERATURE LOG"
"LOGT","NORM","NORMAL LOG"
"LOGT","OTHR","OTHER"
"LOGT","PA","PIPE ANALYSIS"
"LOGT","PACK","PACKER RECORD"
"LOGT","PERF","PERFORATION RECORD"
"LOGT","PERM","PERMEABILITY LOG"
"LOGT","PIL","PHASOR INDUCTION LOG"
"LOGT","PLUG","PLUG LOG"
"LOGT","PROD","PRODUCTION LOG"
"LOGT","PROX","PROXIMITY LOG"
"LOGT","PRSS","PRESSURE SURVEY"
"LOGT","PULS","PULSE ECHO SURVEY"
"LOGT","PXML","PROXIMITY - MICROLOG"
"LOGT","RFT","REPEAT FORMATION TESTER"
"LOGT","SFL","SPHERICALLY FOCUSED LOG"
"LOGT","SIDE","SIDEWALL CORE RECORD"
"LOGT","SMPL","SAMPLE LOG"
"LOGT","SNP","SIDEWALL NEUTRON POROSITY"
"LOGT","SON","SONIC"
"LOGT","SONA","SONIC:  ADVANCED TYPE"
"LOGT","SP","SPONTANEOUS POTENTIAL"
"LOGT","SPIN","SPINNER SURVEY"
"LOGT","SQ","SQUEEZE LOG"
"LOGT","STCL","SLOWNESS TIME COHERANCE LOG"
"LOGT","TDT","THERMAL DECAY TIME"
"LOGT","TEMP","TEMPERATURE LOG"
"LOGT","TRAC","TRACER LOG"
"LOGT","TVD","TRUE VERTICAL DEPTH SERVICE"
"LOGT","UCI","ULTRASONIC CASING IMAGER"
"LOGT","VDL","VARIABLE DENSITY LOG"
"LOGT","VERT","VERTILOG CASING INSPECTION LOG"
"LOGT","VOL","BOREHOLE VOLUME"
"LOGT","VSP","VERTICAL SEISMIC PROFILE"
"LOGT","WFS","WAVEFORM SONIC"
"LOGT","WFT","WIRELINE FORMATION TESTER"
"OPNT","CYCL","Cyclical"
"OPNT","DISP","Disposal"
"OPNT","INJ","Injection"
"OPNT","OBS","Observation"
"OPNT","PROD","Production"
"OPNT","SRC","Source"
"OPNT","STOR","Storage"
"OPNT","UND","Undefined"
"PAYT","G","GAS"
"PAYT","GO","GAS OVER OIL"
"PAYT","O","OIL"
"PAYT","S0LV","SOLVENT"
"PIPT","MISC","MISCIBLE FLOOD"
"PIPT","WAG","WATER AFTER GAS INJECTION"
"PLJD","ALTA","ALBERTA"
"PLJD","FED","FEDERAL"
"PLJD","PROV","PROVINCIAL"
"PLUT","BPN","BRIDGE - NON-RETRIEVABLE"
"PLUT","BPR","BRIDGE - RETRIEVABLE"
"PLUT","CEMT","CEMENT"
"PLUT","FISH","FISH"
"PLUT","PACK","PACKER ASSEMBLY WITH CEMENT"
"PLUT","RET","CEMENT RETAINER"
"PLUT","SURF","SURFACE ABANDONMENT"
"PLUT","UND","UNDEFINED"
"PLZT","ENG","ENGINEERING"
"PLZT","GEO","GEOLOGY"
"PLZT","OPR","OPERATOR"
"PROJ","AGD","ACID GAS DISPOSAL"
"PROJ","AGI","ACID GAS INJECTION"
"PROJ","CONC","CONCURRENT PRODUCTION"
"PROJ","EOR","EOR SCHEME"
"PROJ","EXP","EXPERIMENTAL"
"PROJ","GEPG","GOOD ENG. PRACTICE - GAS"
"PROJ","GEPO","GOOD ENG. PRACTICE - OIL"
"PROJ","OTH","OTHER"
"PROJ","PMGI","PRESSURE MAINT. - GAS INJ"
"PROJ","PMWF","PRESSURE MAINT. - WATER INJ"
"PROJ","UNIT","UNITIZATION"
"PROT","GAS","GAS"
"PROT","OIL","OIL"
"PROT","UN","UNKNOWN"
"PROT","WTR","WATER"
"PRST","AWS","ACOUSTIC WELL SOUNDER"
"PRST","AWSB","ACOUSTIC WELL SOUNDER (B-U)"
"PRST","CS","CULLENDER AND SMITH (TH GUAGE)"
"PRST","CSBU","CULLENDER AND SMITH (B-U)"
"PRST","DFFO","DIAGNOSTIC FRACTURE FALL-OFF"
"PRST","NOTE","OGC NOTES"
"PRST","PG","PRES GAUGE (BH)"
"PRST","PGBU","PRES GAUGE (BH) BUILD-UP"
"PRST","PGFO","PRES GAUGE (BH) FALL-OFF"
"PRST","SG","STATIC GRADIENT"
"PVTT","BHT","BOTTOM HOLE TEST"
"PVTT","SRCM","SURFACE RECOMBINATION"
"ROCT","CARB","CARBONATE"
"ROCT","CNGL","CONGLOMERATE"
"ROCT","COQ","COQUINA"
"ROCT","DOL","DOLOMITE"
"ROCT","FCRB","FRACTURED CARBONATE"
"ROCT","FSHL","FRACTURED SHALE"
"ROCT","FSLT","FRACTURED SILTSTONE"
"ROCT","FSND","FRACTURED SANDSTONE"
"ROCT","LIME","LIMESTONE"
"ROCT","MIXD","MIXED LITHOLOGIES"
"ROCT","NA","NOT AVAILABLE"
"ROCT","OTHR","OTHER"
"ROCT","SAND","SANDSTONE"
"ROCT","SHSS","SHALEY SAND"
"ROCT","SILT","SILTSTONE"
"RSLT","AOFP","AOFP TEST"
"RSLT","CRCT","CORES CUT"
"RSLT","DST","DRILL STEM TEST"
"RSLT","GAS","GAS ANALYSIS"
"RSLT","OIL","OIL ANALYSIS"
"RSLT","PST","PRESSURE SURVEY TEST"
"RSLT","PVT","PRESSURE VALVE TEST"
"RSLT","SPCR","SPECIAL CORES"
"RSLT","WATR","WATER ANALYSIS"
"RSLT","ZPAR","ZONE PARAMETERS"
"RSLT","ZPRE","ZONE PRESSURES"
"RVRT","COMB","COMBINATION"
"RVRT","CYCL","CYCLING"
"RVRT","DEP","DEPLETION"
"RVRT","GCEX","GAS CAP EXPANSION"
"RVRT","GEO","GEOTHERMAL"
"RVRT","GINJ","GAS INJECTION"
"RVRT","GRAV","GRAVITY"
"RVRT","GSTR","GAS STORAGE"
"RVRT","INFL","WATERDRIVE (INFLUX)"
"RVRT","MISC","MISCIBLE"
"RVRT","POLY","POLYMER"
"RVRT","WF","WATER FLOOD"
"SAMC","AOF","AOFP TEST"
"SAMC","DHS","DOWNHOLE SAMPLE"
"SAMC","DST","DRILL STEM TEST"
"SAMC","MET","METER RUN"
"SAMC","OTH","OTHER"
"SAMC","PT","PRESSURE TANK"
"SAMC","SAL","SALES OUTLET"
"SAMC","SEP","SEPARATOR"
"SAMC","SS","SECOND STAGE SEPARATOR"
"SAMC","TUB","TUBING"
"SAMC","WHD","WELLHEAD"
"SPET","PART","PARTIAL"
"SPET","PVT","PVT"
"SPET","SPEC","SPECIAL CORE"
"SPET","WATE","WATERFLOOD"
"SPFL","CHEM","CHEMICAL"
"SPFL","COND","CONDENSATE"
"SPFL","EMLN","EMULSION"
"SPFL","FRWR","FRESH WATER"
"SPFL","GAS","GAS"
"SPFL","METH","METHANOL"
"SPFL","OIL","OIL"
"SPFL","PRWR","PRODUCED WATER"
"SPFL","SLWR","SALT WATER"
"SPFL","UNKN","UNKNOWN LIQUID"
"STIT","ASQZ","ACID SQUEEZE"
"STIT","AWSH","ACID WASH"
"STIT","DFIT","DIAGNOSTIC FRAC INJECTION TEST"
"STIT","FRAC","FRACTURE"
"STIT","SRIT","STEP RATE INJECTION TEST"
"STRUC","AREA","Area Commingled Approval"
"STRUC","AREAR","Reporting Area Commingled Approval"
"STRUC","MULTI","Multilateral Well Event"
"STRUC","MULTIR","Reporting Multilateral Well Event"
"STRUC","NA","Not Applicable"
"STRUC","SINGLE","Single Well Commingled Approval"
"SWCT","NO","CORPORATE"
"SWCT","RED","REDUCED"
"SWCT","SITE","SITE SPECIFIC"
"SWCT","SPC","SPECIAL SOUR"
"SWCT","SUP","CORPORATE WITH SUPPLEMENTAL"
"TEST","CU","CLEAN UP"
"TEST","FAF","FLOW AFTER FLOW XX"
"TEST","FPMI","FOUR-POINT MODIFIED ISOCHRONAL"
"TEST","MP","MULTI POINT"
"TEST","OTH","OTHER"
"TEST","SP","SINGLE POINT"
"TEST","UBD","UNDER BALANCED DRILLING"
"TRAP","EROS","EROSIONAL"
"TRAP","RURA","STRUCTURAL/STRATIGRAPHIC"
"TRAP","STRA","STRATIGRAPHIC"
"TRAP","STRU","STRUCTURAL"
"TTLT","BRP","WESTAR PERMITS"
"TTLT","DL","DRILLING LICENSE"
"TTLT","DR","DRILLING RESERVATION"
"TTLT","FREE","FREEHOLD"
"TTLT","GL","GEOTHERMAL LEASE"
"TTLT","GP","GEOTHERMAL PERMIT"
"TTLT","NG","NATURAL GAS LEASE"
"TTLT","NGL","NATURAL GAS LICENSE"
"TTLT","PA","PERMIT A"
"TTLT","PB","PERMIT B"
"TTLT","PC","PERMIT C"
"TTLT","PC5","PERMIT C5"
"TTLT","PD","PERMIT D"
"TTLT","PET","PETROLEUM LEASE"
"TTLT","PNG","PETROLEUM & NATURAL GAS LEASE"
"TTLT","UG","UG/STORAGE EX. LICENSE"
"TTLT","UL","UG/STORAGE LEASE"
"WFLU","AGAS","Acid Gas"
"WFLU","CO2","Carbon Dioxide"
"WFLU","GAS","Gas"
"WFLU","GEOT","Geothermal Fluid"
"WFLU","LPG","Liquified Petroleum Gas"
"WFLU","MGAS","Multiple Gas"
"WFLU","MOG","Multiple Oil and Gas"
"WFLU","MOIL","Multiple Oil"
"WFLU","OIL","Oil"
"WFLU","SOLV","Solvent"
"WFLU","UND","Undefined"
"WFLU","WATR","Water"
"WMOD","ABAN","Abandoned"
"WMOD","ABNZ","Abandoned Zone"
"WMOD","ACT","Active"
"WMOD","CANC","Cancelled"
"WMOD","CASE","Cased"
"WMOD","COMP","Completed"
"WMOD","DRIL","Drilling"
"WMOD","DSUS","Drilling Suspended"
"WMOD","GAST","Gas Testing"
"WMOD","PRES","Prep to Resume"
"WMOD","PSPD","Prep to Spud"
"WMOD","SUSP","Suspended"
"WMOD","WAG","Well Auth Granted"
"ZFLU","ACID","ACID GAS"
"ZFLU","SALT","SALT WATER"
